ARG100	ORF	ARG100	CAF0006874	PMID: 8194754|CGD_REF: CAL0080661	unknown ploidy, classical genetics	unspecified		Other C. albicans	auxotrophy	arginine						C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 11737641|CGD_REF: CAL0080636	homozygous diploid, classical genetics	null		Not recorded	viable							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 12060662|CGD_REF: CAL0081313	homozygous diploid, classical genetics	null		Not recorded	viable							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 12455984|CGD_REF: CAL0081164	homozygous diploid, classical genetics	null		Not recorded	viable							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 15701792|CGD_REF: CAL0082331	homozygous diploid, classical genetics	null		Not recorded	viable							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 16313617|CGD_REF: CAL0114226	homozygous diploid, classical genetics	null		Not recorded	viable							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 9204892|CGD_REF: CAL0081053	homozygous diploid, classical genetics	null		Not recorded	viable							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 10816502|CGD_REF: CAL0081036	homozygous diploid, classical genetics	null	tup1::hisG/tup1::hisG-URA3-hisG	CAI-4	virulence: decreased			reduced endocytosis by human umbilical cord vein endothelial cells				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 12576958|CGD_REF: CAL0087535	homozygous diploid, classical genetics	null		Not recorded	virulence: decreased			decreased cecal colonization and extraintestinal dissemination			mouse gastrointestinal tract infection	C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 11532938|CGD_REF: CAL0080745	homozygous diploid, classical genetics	null		Not recorded	virulence: decreased						mouse intravenous infection	C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 9204892|CGD_REF: CAL0081053	homozygous diploid, classical genetics	null		Not recorded	heat sensitivity: increased							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 15209998|CGD_REF: CAL0081077	homozygous diploid, classical genetics	null		SC5314	filamentous growth: abnormal		in oral epithelial cell culture	growth is exclusively pseudohyphal			in vitro model of infection	C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 12060662|CGD_REF: CAL0081313	homozygous diploid, classical genetics	null		Not recorded	filamentous growth: abnormal		YPD medium at 30 deg C	constitutive filamentous growth				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 18424510|CGD_REF: CAL0118975	homozygous diploid, classical genetics	null		CAI-4	filamentous growth: abnormal			filamentation is insensitive to farnesol				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 9204892|CGD_REF: CAL0081053	homozygous diploid, classical genetics	null		CAI-4	filamentous growth: abnormal			filamentous growth without induction (all conditions tested)				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 12455984|CGD_REF: CAL0081164	homozygous diploid, classical genetics	null		WO-1	filamentous growth: abnormal			unidirectional morphology transitions (hyphal to pseudohyphal to budding to pseudohyphal)				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 11737641|CGD_REF: CAL0080636	homozygous diploid, classical genetics	null		Not recorded	resistance to chemicals: decreased	ethanol						C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 19057660|CGD_REF: CAL0121272	homozygous diploid, classical genetics	null		Not recorded	resistance to chemicals: decreased	caspofungin		filamentous cells appear to be more sensitive than yeast-form cells				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 19197361|CGD_REF: CAL0122318	homozygous diploid, classical genetics	null		SC5314	resistance to chemicals: decreased	rapamycin (2 nM)						C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 12773383|CGD_REF: CAL0087974	heterozygous diploid, classical genetics (haploinsufficient phenotype assay)	null		CAI-4	viable			heterozygous deletion or transposon insertion				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 15701792|CGD_REF: CAL0082331	heterozygous diploid, classical genetics	null		Not recorded	viable							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 16313617|CGD_REF: CAL0114226	heterozygous diploid, classical genetics	null		Not recorded	viable							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 9204892|CGD_REF: CAL0081053	heterozygous diploid, classical genetics	null		Not recorded	viable							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 11737641|CGD_REF: CAL0080636	homozygous diploid, classical genetics	null		Not recorded	vegetative growth: decreased rate							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 11737641|CGD_REF: CAL0080636	homozygous diploid, classical genetics	null		Not recorded	vegetative growth: decreased rate							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 15701792|CGD_REF: CAL0082331	homozygous diploid, classical genetics	null		RM1000	filamentous growth: increased		solid Spider medium at 30 deg C	hyperfilamentous with increased pseudohyphae and decreased peripheral hyphae				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 11532938|CGD_REF: CAL0080745	homozygous diploid, classical genetics	null		Not recorded	filamentous growth: increased		SLAD medium					C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 16313617|CGD_REF: CAL0114226	homozygous diploid, classical genetics	null		WO-1	colony appearance: abnormal			filamentous growth within fuzzy, frizzy, and wrinkled colonies				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 9204892|CGD_REF: CAL0081053	homozygous diploid, classical genetics	null		Not recorded	germ tube formation: decreased		serum-containing or Lee's media					C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 16313617|CGD_REF: CAL0114226	homozygous diploid, classical genetics	null		WO-1	cell shape: abnormal			cells within fuzzy, frizzy, wrinkled, and smooth colonies have distinct morphologies				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 12576958|CGD_REF: CAL0087535	homozygous diploid, classical genetics	null		Not recorded	virulence: absent						mouse intravenous infection	C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 9204892|CGD_REF: CAL0081053	homozygous diploid, classical genetics	null		Not recorded	cell wall morphology: abnormal			effect is slight				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 18424510|CGD_REF: CAL0118975	homozygous diploid, classical genetics	null		Not recorded	chemical compound accumulation: increased	farnesol						C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 21512583|CGD_REF: CAL0141906	homozygous diploid, classical genetics	null		SC5314	RNA accumulation: increased				DEF1/EED1 mRNA			C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 16313617|CGD_REF: CAL0114226	heterozygous diploid, classical genetics	null		WO-1	colony appearance: normal			both white and opaque cells				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 12455984|CGD_REF: CAL0081164	homozygous diploid, classical genetics	null		Not recorded	phenotypic switching: absent			white-to-opaque switching				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 15209998|CGD_REF: CAL0081077	homozygous diploid, classical genetics	null		Not recorded	adhesion: decreased		adhesion to oral epithelial cells					C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 11532938|CGD_REF: CAL0080745	homozygous diploid, classical genetics	null		Not recorded	pseudohyphal growth: increased			pseudohyphal growth under conditions favoring yeast-form growth of wild type				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 11532938|CGD_REF: CAL0080745	homozygous diploid, classical genetics	null		Not recorded	invasive growth: increased			agar invasion is constitutive				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 11737641|CGD_REF: CAL0080636	homozygous diploid, classical genetics	null		Not recorded	oxidative stress resistance: decreased	hydrogen peroxide						C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 20041210|CGD_REF: CAL0124764	homozygous diploid, systematic mutation set	null		SN152	resistance to chemicals: decreased	caffeine		severely sensitive				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 20041210|CGD_REF: CAL0124764	homozygous diploid, systematic mutation set	null		SN152	resistance to chemicals: decreased	fluconazole		severely sensitive				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 20041210|CGD_REF: CAL0124764	homozygous diploid, systematic mutation set	null		SN152	resistance to chemicals: decreased	flucytosine		strongly sensitive				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 20041210|CGD_REF: CAL0124764	homozygous diploid, systematic mutation set	null		SN152	resistance to chemicals: decreased	rapamycin		severely sensitive				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 20041210|CGD_REF: CAL0124764	homozygous diploid, systematic mutation set	null		SN152	metal resistance: decreased	copper(2+)		severely sensitive				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 20041210|CGD_REF: CAL0124764	homozygous diploid, systematic mutation set	null		SN152	ionic stress resistance: decreased	lithium chloride		severely sensitive				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 16313617|CGD_REF: CAL0114226	heterozygous diploid, classical genetics	null		Not recorded	cellular morphology: normal							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 20041210|CGD_REF: CAL0124764	homozygous diploid, systematic mutation set	null		SN152	colony appearance: abnormal		multiple different media including YEPD with or without serum, Spider, Lee's, blood agar; temperatures from 30-37 deg C	strongly increased colony fuzziness and/or peripheral filamentation				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 20041210|CGD_REF: CAL0124764	homozygous diploid, systematic mutation set	null		SN152	colony color: abnormal		CHROMagar medium at 30 and 37 deg C	darker than normal				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 18424510|CGD_REF: CAL0118975	heterozygous diploid, classical genetics	null		CAI-4	filamentous growth: abnormal			farnesol suppresses haploinsufficiency with respect to filamentation				C. albicans
